dir,hir,lvr,pbcr,self,single,condo,deny,uria
0.221000004,0.221000004,0.8,no,no,no,0,no,3.900000095
0.265,0.265,0.921875,no,no,yes,0,no,3.200000048
0.372000008,0.247999992,0.92039801,no,no,no,0,no,3.200000048
0.32,0.25,0.860465116,no,no,no,0,no,4.300000191
0.36,0.35,0.6,no,no,no,0,no,3.200000048
0.24,0.17,0.510526316,no,no,no,0,no,3.900000095
0.35,0.29,0.746666667,no,no,yes,1,no,3.900000095
0.28,0.22,0.85,no,no,no,0,no,1.799999952
0.31,0.24,0.897260274,no,no,no,0,yes,3.099999905
0.18,0.17,0.358744395,no,no,yes,0,no,3.900000095
0.28,0.27,0.223880597,no,no,yes,1,no,3.099999905
0.31,0.3,0.688888889,no,no,yes,0,no,4.300000191
0.28,0.27,0.537634409,no,no,no,0,yes,4.300000191
0.36,0.34,0.649438202,no,no,no,0,no,10.60000038
0.18,0.15,0.3625,no,no,no,0,no,3.200000048
0.36,0.27,0.833333333,no,no,no,0,no,3.200000048
0.23,0.22,0.642857143,no,no,no,0,no,3.200000048
0.32,0.27,0.4375,no,no,no,0,no,3.200000048
0.31,0.29,0.794444444,no,no,no,0,no,4.300000191
0.37,0.28,0.8,no,no,yes,0,no,3.099999905
0.37,0.22,0.896341463,yes,no,no,0,yes,3.099999905
0.39,0.31,0.878571429,no,no,no,0,no,5.300000191
0.32,0.32,0.772058824,no,no,yes,0,no,10.60000038
0.39,0.33,0.901023891,no,no,no,0,no,3.200000048
0.33,0.31,0.65437788,no,no,yes,0,no,3.900000095
0.28,0.13,0.62962963,no,no,yes,1,no,3.200000048
0.37,0.28,0.894736842,no,no,yes,1,no,1.799999952
0.3,0.25,0.485436893,no,no,yes,0,no,3.200000048
0.31,0.29,0.949367089,no,no,no,0,no,3.900000095
0.26,0.21,0.891089109,no,no,yes,0,no,1.799999952
0.36,0.29,0.863309353,no,no,yes,0,no,4.300000191
0.37,0.2,0.714285714,no,no,no,0,no,4.300000191
0.35,0.26,0.751219512,no,no,yes,0,no,3.599999905
0.37,0.26,0.90212766,no,no,yes,0,no,2
0.34,0.28,0.847058824,no,no,no,0,no,4.300000191
0.38,0.28,0.473684211,no,no,no,1,no,3.900000095
0.44,0.31,0.687969925,no,no,no,0,no,3.099999905
0.35,0.22,0.897810219,no,no,no,0,no,4.300000191
0.38,0.28,0.880851064,no,no,no,0,no,3.099999905
0.37,0.34,0.919753086,no,no,yes,0,no,3.099999905
0.37,0.28,0.936363636,no,no,no,0,no,3.900000095
0.41,0.1,0.642857143,no,no,no,1,no,2
0.35,0.34,1.47826087,no,no,no,0,yes,3.200000048
0.41,0.3,0.72,no,no,no,0,yes,3.200000048
0.34,0.28,0.677966102,yes,no,yes,0,no,3.099999905
0.29,0.19,0.9,no,no,no,0,no,3.200000048
0.27,0.26,0.8,yes,no,no,0,yes,3.200000048
0.37,0.27,0.853846154,no,no,yes,0,no,3.200000048
0.34,0.3,0.741935484,no,yes,no,0,yes,3.900000095
0.36,0.15,0.675675676,no,no,yes,0,no,3.099999905
0.34,0.32,0.643678161,no,no,yes,0,no,3.200000048
0.27,0.21,0.941176471,no,no,no,0,no,2
0.16,0.08,0.732484076,no,no,yes,0,no,3.200000048
0.39,0.28,0.913580247,no,no,yes,0,no,3.099999905
0.36,0.26,0.207142857,no,no,no,0,no,3.200000048
0.313999996,0.265,0.93442623,yes,no,no,0,no,3.200000048
0.34,0.28,0.903448276,yes,no,no,0,no,3.900000095
0.332000008,0.281000004,0.902439024,no,no,yes,0,no,10.60000038
0.33,0.33,0.636942675,no,yes,yes,0,no,4.300000191
0.399000015,0.272000008,0.769230769,no,no,yes,1,no,10.60000038
0.342000008,0.322000008,0.75,no,no,no,0,no,3.200000048
0.375999985,0.277999992,0.8,no,no,yes,1,no,3.200000048
0.320999985,0.251000004,0.888888889,no,no,no,1,no,4.300000191
0.278999996,0.207999992,0.751879699,no,no,no,0,no,5.300000191
0.317000008,0.246000004,0.894039735,no,no,no,0,no,3.200000048
0.285,0.26,0.65,no,yes,no,0,no,3.900000095
0.365,0.24,0.940397351,no,no,no,0,no,3.099999905
0.337000008,0.313999996,0.425531915,no,no,no,0,no,3.200000048
0.35,0.27,0.678571429,no,no,yes,1,no,3.200000048
0.352000008,0.288999996,0.884615385,no,no,yes,1,no,3.200000048
0.35,0.28,0.939189189,no,no,no,0,no,3.200000048
0.344000015,0.251000004,0.902439024,no,no,no,0,no,3.099999905
0.28,0.28,0.738255034,no,no,yes,0,no,3.200000048
0.377999992,0.225,0.899470899,no,no,no,0,no,4.300000191
0.257999992,0.193999996,0.677966102,no,no,no,0,no,5.300000191
0.217999992,0.081999998,0.802197802,no,yes,no,0,no,10.60000038
0.23,0.17,0.553072626,no,no,no,0,no,3.099999905
0.285,0.285,0.651567944,no,no,no,0,no,3.200000048
0.265,0.265,0.835164835,yes,no,no,0,yes,4.300000191
0.36,0.24,0.784313725,no,no,yes,1,no,5.300000191
0.272000008,0.27,0.666666667,no,no,no,0,no,2
0.36,0.22,0.801136364,no,yes,yes,1,no,3.200000048
0.31,0.31,0.882352941,no,no,no,0,yes,3.200000048
0.359000015,0.288999996,0.902985075,no,no,yes,0,yes,4.300000191
0.397000008,0.243999996,0.660377358,no,no,no,0,no,3.200000048
0.34,0.26,0.746753247,no,yes,no,0,no,10.60000038
0.218999996,0.212999992,0.767676768,no,no,no,0,yes,4.300000191
0.32,0.32,0.85,no,no,yes,0,no,4.300000191
0.32,0.24,0.948148148,no,no,no,0,no,4.300000191
0.28,0.28,0.434782609,no,no,yes,0,no,2
0.387999992,0.32,0.888111888,no,no,no,0,yes,2
0.25,0.18,0.782608696,no,no,yes,1,no,3.200000048
0.34,0.25,0.8,no,no,no,0,no,10.60000038
0.32,0.22,0.730593607,no,no,yes,0,no,3.200000048
0.312000008,0.256000004,0.792207792,no,yes,no,0,no,1.799999952
0.33,0.31,0.580246914,no,no,yes,1,no,4.300000191
0.32,0.31,0.636363636,no,no,no,0,no,3.200000048
0.38,0.3,0.876470588,no,no,no,0,no,10.60000038
0.32,0.2,0.796992481,no,no,no,0,no,2
0.23,0.22,0.922222222,no,no,no,0,no,4.300000191
0.27,0.27,0.751269036,no,no,no,0,no,4.300000191
0.313999996,0.313999996,0.666666667,no,no,yes,0,no,1.799999952
0.35,0.23,0.851851852,no,no,yes,0,no,3.900000095
0.32,0.27,0.743362832,no,yes,yes,0,no,3.200000048
0.357999992,0.101999998,0.8,no,no,no,0,no,3.900000095
0.35,0.33,0.9296875,no,no,yes,0,yes,3.900000095
0.34,0.24,0.922535211,no,no,no,0,no,3.099999905
0.31,0.22,0.8,no,yes,yes,0,no,10.60000038
0.29,0.21,0.703225806,no,no,no,0,no,3.099999905
0.61,0.39,0.555555556,no,no,no,0,yes,10.60000038
0.262999992,0.226000004,0.625407166,no,no,no,0,no,3.200000048
0.262000008,0.257999992,0.687022901,no,no,yes,0,no,4.300000191
0.36,0.288999996,0.7875,no,no,no,0,no,3.200000048
0.46,0.31,1.105555556,no,yes,yes,0,yes,4.300000191
0.305,0.217999992,0.666666667,no,no,no,0,no,3.200000048
0.384000015,0.28,0.506666667,no,no,yes,0,no,3.900000095
0.263999996,0.215,0.78817734,no,yes,no,0,no,10.60000038
0.33,0.308999996,0.302325581,no,no,no,0,no,3.200000048
0.47,0.31,0.89261745,no,yes,yes,0,yes,3.200000048
0.19,0.18,0.738888889,no,no,no,0,no,1.799999952
0.3,0.3,0.894736842,no,no,yes,0,no,4.300000191
0.36,0.26,0.738636364,no,no,no,0,no,3.900000095
0.33,0.26,0.7,no,no,yes,0,no,3.900000095
0.23,0.23,0.736842105,no,no,yes,1,no,3.099999905
0.41,0.34,0.8,no,no,no,0,no,3.200000048
0.36,0.3,0.950617284,no,no,no,0,no,1.799999952
0.41,0.33,0.694594595,no,no,no,0,yes,1.799999952
0.33,0.33,0.681818182,no,no,no,0,no,5.300000191
0.29,0.29,0.571428571,yes,no,yes,1,yes,1.799999952
0.41,0.28,0.786786787,no,no,no,0,no,3.099999905
0.33,0.28,0.89787234,no,no,no,0,no,3.599999905
0.23,0.19,0.889175258,no,no,no,0,no,3.200000048
0.39,0.34,0.717037037,no,yes,no,0,no,3.200000048
0.39,0.15,0.798469388,no,yes,no,0,no,3.200000048
0.27,0.24,0.8,no,no,no,0,no,3.200000048
0.384000015,0.141999998,0.8,no,yes,yes,1,no,4.300000191
0.382000008,0.277000008,0.804123711,no,no,yes,1,no,3.900000095
0.37,0.261000004,0.581300813,no,no,no,0,no,3.200000048
0.325,0.322999992,0.781914894,no,no,yes,1,no,3.200000048
0.397999992,0.357999992,0.642857143,no,no,yes,0,no,3.200000048
0.395,0.306000004,0.8,no,no,yes,1,no,3.200000048
0.407000008,0.337000008,0.74893617,no,no,yes,1,no,3.200000048
0.301000004,0.198999996,0.779069767,no,no,yes,1,no,1.799999952
0.365,0.317999992,0.9,no,no,yes,0,no,3.200000048
0.266000004,0.257000008,0.797752809,no,no,yes,1,no,3.200000048
