Year,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
1990,0.816,1.572,-3.936,-0.229,-3.484,Down
1990,-0.27,0.816,1.572,-3.936,-0.229,Down
1990,-2.576,-0.27,0.816,1.572,-3.936,Up
1990,3.514,-2.576,-0.27,0.816,1.572,Up
1990,0.712,3.514,-2.576,-0.27,0.816,Up
1990,1.178,0.712,3.514,-2.576,-0.27,Down
1990,-1.372,1.178,0.712,3.514,-2.576,Up
1990,0.807,-1.372,1.178,0.712,3.514,Up
1990,0.041,0.807,-1.372,1.178,0.712,Up
1990,1.253,0.041,0.807,-1.372,1.178,Down
1990,-2.678,1.253,0.041,0.807,-1.372,Down
1990,-1.793,-2.678,1.253,0.041,0.807,Up
1990,2.82,-1.793,-2.678,1.253,0.041,Up
1990,4.022,2.82,-1.793,-2.678,1.253,Up
1990,0.75,4.022,2.82,-1.793,-2.678,Down
1990,-0.017,0.75,4.022,2.82,-1.793,Up
1990,2.42,-0.017,0.75,4.022,2.82,Down
1990,-1.225,2.42,-0.017,0.75,4.022,Up
1990,1.171,-1.225,2.42,-0.017,0.75,Down
1990,-2.061,1.171,-1.225,2.42,-0.017,Up
1990,0.729,-2.061,1.171,-1.225,2.42,Up
1990,0.112,0.729,-2.061,1.171,-1.225,Up
1990,2.48,0.112,0.729,-2.061,1.171,Down
1990,-1.552,2.48,0.112,0.729,-2.061,Down
1990,-2.259,-1.552,2.48,0.112,0.729,Down
1990,-2.428,-2.259,-1.552,2.48,0.112,Down
1990,-2.708,-2.428,-2.259,-1.552,2.48,Down
1990,-2.292,-2.708,-2.428,-2.259,-1.552,Down
1990,-4.978,-2.292,-2.708,-2.428,-2.259,Up
1990,3.547,-4.978,-2.292,-2.708,-2.428,Up
1990,0.26,3.547,-4.978,-2.292,-2.708,Down
1990,-2.032,0.26,3.547,-4.978,-2.292,Down
1990,-1.739,-2.032,0.26,3.547,-4.978,Down
1990,-1.693,-1.739,-2.032,0.26,3.547,Up
1990,1.781,-1.693,-1.739,-2.032,0.26,Down
1990,-3.682,1.781,-1.693,-1.739,-2.032,Up
1990,4.15,-3.682,1.781,-1.693,-1.739,Down
1990,-2.487,4.15,-3.682,1.781,-1.693,Up
1990,2.343,-2.487,4.15,-3.682,1.781,Up
1990,0.606,2.343,-2.487,4.15,-3.682,Up
1990,1.077,0.606,2.343,-2.487,4.15,Down
1990,-0.637,1.077,0.606,2.343,-2.487,Up
1990,2.26,-0.637,1.077,0.606,2.343,Up
1990,1.716,2.26,-0.637,1.077,0.606,Down
1990,-0.284,1.716,2.26,-0.637,1.077,Up
